Income,Age,Dependents,Occupation,City_Tier,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Expenses
44637.24963568593,49,0,Self_Employed,Tier_1,13.890948127514209,6200.537192442157,11265.6277068517,33371.621928834225
26858.596591729543,34,2,Retired,Tier_2,7.160375737936883,1923.1764339045449,9676.818732684447,17181.777859045094
50367.60508357677,35,1,Student,Tier_3,13.9978075391687,7050.360421687626,13891.450624290315,36476.15445928645
101455.6002469913,21,0,Self_Employed,Tier_3,16.45543971526684,16694.965136405768,31617.95361466108,69837.64663233022
24875.28354773196,52,4,Professional,Tier_2,7.533982196578117,1874.0994338344517,6265.700532103096,18609.583015628865
24875.61026730744,57,4,Self_Employed,Tier_2,5.9442415409980445,1478.6663590860635,7599.265299650189,17276.34496765725
106119.69276166476,53,0,Self_Employed,Tier_2,17.338501566220952,18399.564591550105,41595.32572289698,64524.36703876778
55431.34150830326,40,1,Professional,Tier_2,11.972313337769307,6636.413892703046,8465.944597092319,46965.39691121094
20606.733120766687,32,4,Retired,Tier_1,6.304983639055541,362.9178724283629,362.9178724283629,20243.815248338324
46304.79023459725,30,1,Student,Tier_2,12.126401429533283,5615.1047449505895,15690.256276016116,30614.53395858113
20706.822335826528,31,0,Student,Tier_3,8.353298902926952,1729.7027630096304,8058.57116202657,12648.251173799958
20668.55739001468,31,4,Professional,Tier_2,8.245344141465512,1704.193685883013,6119.611452794788,14548.945937219893
36407.22336013257,54,3,Retired,Tier_1,7.534437635244965,2743.079538793525,4590.467260729598,31816.756099402974
6492.016465573834,22,3,Retired,Tier_3,7.151721192632913,464.2909173976621,1880.9261396743927,4611.09032589944
7547.85272595847,39,4,Self_Employed,Tier_2,5.461341856027502,412.21404015408274,2161.4551751096524,5386.397550848817
19132.096281101058,45,2,Student,Tier_2,8.017728052098121,1533.959450484261,3204.3523947057365,15927.743886395321
13342.207217642665,62,4,Retired,Tier_2,8.140559551750583,1086.1303240701657,1098.2901707765177,12243.917046866147
38574.64702065896,21,4,Professional,Tier_2,6.911498006083683,2666.0859596866626,10612.576689849451,27962.070330809507
14509.130214675472,55,4,Student,Tier_1,7.236589771494467,1049.9662330480185,2482.6099382833563,12026.520276392117
9692.519676095202,46,0,Professional,Tier_2,5.2199124122997045,505.94103763708455,3659.068173875291,6033.451502219912
96903.5735346614,54,4,Retired,Tier_2,13.54510108457869,13125.68698983893,20836.43014417688,76067.14339048453
25042.549077566902,52,4,Self_Employed,Tier_2,5.747967220275525,1439.4375120999566,4900.615035330291,20141.934042236615
31665.25254344452,37,0,Student,Tier_1,6.835440261379062,2164.459421221964,8792.3411666813,22872.91137676322
9596.503685321524,52,4,Retired,Tier_2,5.448952951450677,522.9089707974001,3095.6580436953964,6500.845641626128
19408.11353403291,52,3,Retired,Tier_1,6.115565684208621,826.2663088605877,826.2663088605877,18581.84722517232
32783.83155406074,37,3,Professional,Tier_2,9.373867594500627,3073.112962281771,9772.99929308625,23010.832260974486
11946.071979814871,19,4,Student,Tier_2,5.612336084595128,670.4537084148577,4147.829434383291,7798.24254543158
40518.38397137296,35,0,Retired,Tier_3,14.79317814779412,5993.95672349246,16466.83101771838,24051.55295365458
18554.01911983324,47,4,Self_Employed,Tier_2,9.664288343608286,1793.1139070688962,3422.993164291256,15131.025955541983
23756.1722713903,59,4,Student,Tier_2,6.324263652844748,1502.4029682667194,7421.818799473136,16334.353471917164
18538.17448835576,46,1,Professional,Tier_2,9.35460343637234,1734.1727077284286,2054.643023444773,16483.53146491099
132028.78001915166,56,2,Self_Employed,Tier_3,18.53360417304233,24469.691483246374,50041.28302458506,81987.4969945666
29677.809209294763,39,0,Retired,Tier_1,5.147627122442942,1527.7029562045263,6059.967686019641,23617.84152327512
12871.668277482722,46,2,Retired,Tier_2,8.855788873894896,1139.8877672019737,3153.8832602780985,9717.785017204624
57929.879866986135,63,1,Retired,Tier_2,13.173604714736108,7631.453385398249,18820.935370000887,39108.94449698525
11296.833460181926,27,2,Retired,Tier_2,8.67464726230974,979.960454481362,3287.890795189892,8008.942664992034
35455.84989880044,37,4,Professional,Tier_3,5.763676550584086,2043.5605064274523,10177.715597080043,25278.134301720398
6255.5012872758,33,3,Self_Employed,Tier_2,6.422917425818373,401.78568225273006,793.2631154190813,5462.2381718567185
10367.216239239837,23,0,Student,Tier_3,6.303268259567471,653.473450608729,3837.644943226529,6529.571296013306
35117.036052937685,34,0,Retired,Tier_1,5.370887107651962,1886.0963619567212,10184.627412440805,24932.40864049688
54161.51742492653,23,4,Self_Employed,Tier_1,10.878080828351376,5174.202075888032,5174.202075888032,48987.3153490385
34408.100166399614,39,2,Self_Employed,Tier_2,9.17155634210464,3155.758293009141,10603.133094384855,23804.96707201476
27348.96692477707,35,0,Self_Employed,Tier_3,5.602286677954669,1532.1675305850144,12147.79577599226,15201.171148784808
23578.008283443018,49,1,Self_Employed,Tier_2,9.960479692778708,2348.482727034023,7199.678551457208,16378.32973198581
9192.425129000392,45,1,Professional,Tier_2,9.684399140398046,542.3239892553247,542.3239892553247,8650.101139745067
16866.37533666489,59,2,Self_Employed,Tier_2,9.650204211224665,1627.6396630197935,2977.620841224849,13888.754495440044
20752.90765671867,27,1,Professional,Tier_3,8.233863170618527,1708.766020379031,6590.1474026640335,14162.760254054638
69888.08400227477,58,3,Professional,Tier_1,13.358239578909997,9335.817698133733,13785.936734977093,56102.14726729768
39491.75884551276,39,4,Retired,Tier_2,7.636387836463454,3015.7438688842167,14851.97153376846,24639.7873117443
7321.134171054789,45,0,Student,Tier_2,6.812590883368053,498.7589190964218,2133.46683358506,5187.667337469728
38879.40038115789,32,4,Student,Tier_2,5.675364549469092,2206.5477062783857,13218.755268560326,25660.645112597562
22046.00832871537,60,2,Self_Employed,Tier_2,6.093389981570189,1343.3492628380716,4473.480141178643,17572.528187536725
17455.58721109517,46,4,Self_Employed,Tier_1,6.108047010887931,1066.1954728802343,3743.511148093927,13712.076063001245
48937.227858527775,24,0,Student,Tier_3,11.247681829753455,5504.303685828675,14153.3931444118,34783.834714115976
68442.70689898357,51,0,Student,Tier_2,13.502305045899451,9241.34306717163,15611.391983274138,52831.31491570943
63194.76572747071,49,2,Professional,Tier_2,13.03747006931792,8238.998667094573,17787.994602066043,45406.771125404666
15330.178905214852,19,0,Self_Employed,Tier_2,9.175217528204294,1406.5772620163505,5528.107493479878,9802.071411734974
23425.55407472084,43,1,Student,Tier_1,7.90942020597887,1480.8650423655272,1480.8650423655272,21944.68903235531
39103.34944138731,62,4,Student,Tier_2,5.67134579239757,2217.686163230638,11002.0453801953,28101.30406119201
65472.71450185657,28,3,Professional,Tier_2,13.722197815620742,8984.295399201368,21235.163110446272,44237.5513914103
20447.446136426697,42,3,Retired,Tier_2,5.298558351999693,1083.4198650322753,5942.532285603023,14504.913850823674
25859.29731544101,36,3,Professional,Tier_2,9.348148771614436,2417.365584341524,8534.98636808345,17324.31094735756
12380.58354753963,37,2,Student,Tier_3,9.156462742867724,1133.6235198800775,3125.285285521377,9255.298262018254
11521.698485734503,50,3,Self_Employed,Tier_2,5.557984960290123,640.3742690070986,1439.2671901242538,10082.431295610255
57467.41201508821,34,4,Retired,Tier_2,10.26919059791254,5901.4380715171,11826.83528729694,45640.57672779127
88782.48632874028,47,0,Professional,Tier_1,11.998188318366315,10652.289903450088,27322.295748454795,61460.19058028549
28320.595167263356,35,1,Retired,Tier_1,7.922013792687794,2243.561455321876,6627.024552194842,21693.57061506851
66955.19738552207,49,3,Retired,Tier_2,13.718087567174768,5091.194873893423,5091.194873893423,61864.00251162865
40065.12285831808,57,3,Professional,Tier_1,10.208772942253818,4090.157421640725,4944.552748968352,35120.57010934973
17905.38629608483,62,3,Self_Employed,Tier_2,7.050593467959449,1262.4359966046634,5110.688678214157,12794.697617870674
40057.417648633935,21,1,Student,Tier_3,13.130486883462194,5259.733970207549,5593.297030312649,34464.120618321285
102680.95275488916,49,4,Student,Tier_2,24.394969350896964,13805.022994297498,13805.022994297498,88875.92976059167
29152.379832530303,36,3,Self_Employed,Tier_2,7.927152257055217,2310.953535879736,7753.056910893236,21399.322921637067
104890.0130420075,20,0,Retired,Tier_1,17.57909031354796,18438.71012254673,20895.763087692787,83994.24995431471
3689.1692543756553,55,2,Self_Employed,Tier_1,8.279952128696484,146.78979003732184,146.78979003732184,3542.3794643383335
57900.11583389391,45,1,Retired,Tier_1,13.441560642413542,0.0,-849.6529705375069,58749.76880443142
32163.58899710021,55,4,Professional,Tier_2,5.613131665872712,1805.3845988773835,9011.302058185716,23152.286938914498
23617.58357370196,23,0,Retired,Tier_2,7.651601266069246,1807.123323740342,9551.837147951415,14065.746425750545
32285.105792052884,57,1,Student,Tier_1,9.177844849222474,2963.0769190019523,4271.281994593199,28013.82379745968
6117.431078472254,34,1,Student,Tier_2,7.821658468215848,478.4845659865931,1529.031639259848,4588.399439212406
25165.1442251509,59,2,Retired,Tier_2,6.374869680123689,1604.2451491685422,3926.338087436816,21238.806137714084
39920.3987001283,22,2,Student,Tier_2,5.977531957820304,2386.2545899894503,6077.817424968358,33842.581275159944
97857.52726506832,36,4,Self_Employed,Tier_2,10.463956923978824,10239.76949988758,30885.020524792897,66972.50674027542
19817.813541371783,60,3,Retired,Tier_1,5.972224798297232,1183.5643747981126,1551.5215501644452,18266.29199120734
15711.650376310075,59,2,Self_Employed,Tier_2,9.900118081174767,1555.4719397560375,3808.490560473503,11903.159815836576
20081.354481258342,52,4,Student,Tier_2,9.616178995616762,1931.05899166211,5318.116323460994,14763.238157797348
62397.117214574384,39,1,Self_Employed,Tier_3,13.368464405989338,8341.536405193823,14494.478138628265,47902.63907594612
39024.8362119663,41,3,Retired,Tier_1,5.129483135848404,2001.7723922852724,3360.137091862998,35664.6991201033
19636.48309970429,27,0,Self_Employed,Tier_2,7.190465288957129,1411.95450125617,8053.741086331916,11582.742013372375
45232.295239346575,19,1,Self_Employed,Tier_1,10.32388619388013,0.0,-522.356919179314,45754.65215852589
32422.72030880969,45,4,Student,Tier_2,6.632452206864536,2150.4214286471647,9519.63445462503,22903.085854184665
65112.293659931616,58,0,Student,Tier_1,12.582857698713912,8192.987255597916,13449.982334457934,51662.31132547368
17108.149117324385,54,1,Retired,Tier_1,6.758158221865022,579.4702421809343,579.4702421809343,16528.67887514345
23082.33633917581,34,2,Retired,Tier_2,5.310850466665019,1225.868367186308,3027.147739675529,20055.188599500285
21922.441959930464,23,4,Student,Tier_2,7.899424420258838,1731.7467336998172,6266.493490418661,15655.948469511803
9303.451154063603,60,0,Professional,Tier_2,7.474997386176714,695.4327305904817,3032.9559137783326,6270.4952402852705
38019.2877496309,22,2,Student,Tier_2,5.446402184081981,2070.68331836831,6362.371687914096,31656.916061716805
36967.59061264974,56,0,Professional,Tier_2,7.932353149376452,2932.399838211116,5675.691792852373,31291.89881979737
30122.97431746392,24,3,Self_Employed,Tier_2,5.971138287902505,1798.6844529251264,10386.11542494527,19736.85889251865
24866.65314965845,49,3,Retired,Tier_1,6.367359999699584,0.0,-591.8529404241708,25458.506090082625
9668.766946264592,21,4,Self_Employed,Tier_2,7.6883178745257394,743.3655373758971,2281.7275156568785,7387.039430607713
21427.628129525627,38,0,Self_Employed,Tier_2,9.744996033259593,2088.121511243889,8278.10572661629,13149.522402909339
22806.04810259303,59,3,Student,Tier_2,9.33003244011772,2127.811686280781,7081.179366819284,15724.868735773747
15789.980073305902,49,1,Retired,Tier_1,7.773868283583794,1227.4922529029286,3438.4910682267077,12351.489005079195
26368.46562613627,35,1,Professional,Tier_1,6.492960011214844,1712.09392867596,6473.069250055789,19895.39637608048
41447.93524174928,50,3,Student,Tier_1,14.07816036361893,5835.1067907423885,9450.713708737769,31997.22153301151
135659.2331314692,31,3,Student,Tier_1,16.83655330800644,19147.2491221464,19147.2491221464,116511.9840093228
34496.56079364953,23,4,Self_Employed,Tier_3,7.729719615184472,2666.4874262307635,13762.004386474931,20734.556407174594
36864.08217610173,28,4,Professional,Tier_3,7.72854798818833,2849.058281385203,12663.83461381194,24200.247562289787
28265.46238871148,63,1,Student,Tier_2,9.90085576087604,2798.5226612509914,4358.822112490743,23906.640276220736
6463.561033057167,37,2,Retired,Tier_1,7.704080090313929,497.95791867304655,1626.7298287508538,4836.831204306313
29370.3681873373,46,0,Professional,Tier_3,5.16002413484819,1515.5180869603796,12618.27671367886,16752.09147365844
31480.916901903365,52,2,Student,Tier_2,6.847701791672105,2155.7193107264434,7095.8311288244695,24385.085773078896
215248.04733458973,33,4,Self_Employed,Tier_1,23.62967965850314,39994.93512677081,39994.93512677081,175253.11220781892
25721.021373512307,24,2,Student,Tier_2,5.883353177400271,1513.258528238339,4282.545530118034,21438.475843394273
38184.71312437806,57,4,Professional,Tier_2,9.704894170232995,3705.7859979279606,8777.60526478936,29407.1078595887
29178.37830246606,53,2,Self_Employed,Tier_1,7.545742186803377,2201.7252009942645,7785.6791991890095,21392.69910327705
11778.254019385218,61,1,Student,Tier_1,8.997316326447171,1059.7267718565663,2246.5593491380623,9531.694670247156
74847.71878704197,61,4,Professional,Tier_2,12.194767198692638,9127.505059611902,25420.95535905102,49426.763427990954
54748.16257237731,48,1,Professional,Tier_1,13.135346867559774,7191.361057497296,11679.980667134558,43068.18190524275
56487.70135339636,59,2,Self_Employed,Tier_1,12.74953801459764,6079.527012035433,6079.527012035433,50408.17434136093
14493.313683886294,61,3,Self_Employed,Tier_1,8.776239133950172,1271.9678673313842,3343.842702592437,11149.470981293856
92151.3957416731,60,3,Retired,Tier_3,14.04841921972583,12945.814390618814,25936.658541786004,66214.7371998871
9773.909420660237,60,0,Retired,Tier_2,8.492376261630914,830.0371634734574,4094.2008392344906,5679.708581425744
